統計年月,區域別代碼,區域別,性別,從姓方式,子女人數
11507,65000010,新北市板橋區,男,雙方約定_從父姓,88
11507,65000010,新北市板橋區,男,雙方約定_從母姓,2
11507,65000010,新北市板橋區,男,雙方約定_傳統姓名,0
11507,65000010,新北市板橋區,男,一方約定_從父姓,0
11507,65000010,新北市板橋區,男,一方約定_從母姓,4
11507,65000010,新北市板橋區,男,一方約定_傳統姓名,0
11507,65000010,新北市板橋區,男,申請人抽籤決定_從父姓,0
11507,65000010,新北市板橋區,男,申請人抽籤決定_從母姓,0
11507,65000010,新北市板橋區,男,申請人抽籤決定_傳統姓名,0
11507,65000010,新北市板橋區,男,戶政事務所抽籤決定_從父姓,0
11507,65000010,新北市板橋區,男,戶政事務所抽籤決定_從母姓,0
11507,65000010,新北市板橋區,男,戶政事務所抽籤決定_傳統姓名,0
11507,65000010,新北市板橋區,男,監護人決定依監護人之姓,0
11507,65000010,新北市板橋區,女,雙方約定_從父姓,74
11507,65000010,新北市板橋區,女,雙方約定_從母姓,2
11507,65000010,新北市板橋區,女,雙方約定_傳統姓名,0
11507,65000010,新北市板橋區,女,一方約定_從父姓,0
11507,65000010,新北市板橋區,女,一方約定_從母姓,2
11507,65000010,新北市板橋區,女,一方約定_傳統姓名,0
11507,65000010,新北市板橋區,女,申請人抽籤決定_從父姓,0
11507,65000010,新北市板橋區,女,申請人抽籤決定_從母姓,0
11507,65000010,新北市板橋區,女,申請人抽籤決定_傳統姓名,0
11507,65000010,新北市板橋區,女,戶政事務所抽籤決定_從父姓,0
11507,65000010,新北市板橋區,女,戶政事務所抽籤決定_從母姓,0
11507,65000010,新北市板橋區,女,戶政事務所抽籤決定_傳統姓名,0
11507,65000010,新北市板橋區,女,監護人決定依監護人之姓,0
11507,65000020,新北市三重區,男,雙方約定_從父姓,55
11507,65000020,新北市三重區,男,雙方約定_從母姓,4
11507,65000020,新北市三重區,男,雙方約定_傳統姓名,0
11507,65000020,新北市三重區,男,一方約定_從父姓,0
11507,65000020,新北市三重區,男,一方約定_從母姓,0
11507,65000020,新北市三重區,男,一方約定_傳統姓名,0
11507,65000020,新北市三重區,男,申請人抽籤決定_從父姓,0
11507,65000020,新北市三重區,男,申請人抽籤決定_從母姓,0
11507,65000020,新北市三重區,男,申請人抽籤決定_傳統姓名,0
11507,65000020,新北市三重區,男,戶政事務所抽籤決定_從父姓,0
11507,65000020,新北市三重區,男,戶政事務所抽籤決定_從母姓,0
11507,65000020,新北市三重區,男,戶政事務所抽籤決定_傳統姓名,0
11507,65000020,新北市三重區,男,監護人決定依監護人之姓,0
11507,65000020,新北市三重區,女,雙方約定_從父姓,48
11507,65000020,新北市三重區,女,雙方約定_從母姓,2
11507,65000020,新北市三重區,女,雙方約定_傳統姓名,0
11507,65000020,新北市三重區,女,一方約定_從父姓,0
11507,65000020,新北市三重區,女,一方約定_從母姓,0
11507,65000020,新北市三重區,女,一方約定_傳統姓名,0
11507,65000020,新北市三重區,女,申請人抽籤決定_從父姓,0
11507,65000020,新北市三重區,女,申請人抽籤決定_從母姓,0
11507,65000020,新北市三重區,女,申請人抽籤決定_傳統姓名,0
11507,65000020,新北市三重區,女,戶政事務所抽籤決定_從父姓,0
11507,65000020,新北市三重區,女,戶政事務所抽籤決定_從母姓,0
11507,65000020,新北市三重區,女,戶政事務所抽籤決定_傳統姓名,0
11507,65000020,新北市三重區,女,監護人決定依監護人之姓,0
11507,65000030,新北市中和區,男,雙方約定_從父姓,58
11507,65000030,新北市中和區,男,雙方約定_從母姓,3
11507,65000030,新北市中和區,男,雙方約定_傳統姓名,0
11507,65000030,新北市中和區,男,一方約定_從父姓,0
11507,65000030,新北市中和區,男,一方約定_從母姓,2
11507,65000030,新北市中和區,男,一方約定_傳統姓名,0
11507,65000030,新北市中和區,男,申請人抽籤決定_從父姓,0
11507,65000030,新北市中和區,男,申請人抽籤決定_從母姓,0
11507,65000030,新北市中和區,男,申請人抽籤決定_傳統姓名,0
11507,65000030,新北市中和區,男,戶政事務所抽籤決定_從父姓,0
11507,65000030,新北市中和區,男,戶政事務所抽籤決定_從母姓,0
11507,65000030,新北市中和區,男,戶政事務所抽籤決定_傳統姓名,0
11507,65000030,新北市中和區,男,監護人決定依監護人之姓,0
11507,65000030,新北市中和區,女,雙方約定_從父姓,49
11507,65000030,新北市中和區,女,雙方約定_從母姓,1
11507,65000030,新北市中和區,女,雙方約定_傳統姓名,0
11507,65000030,新北市中和區,女,一方約定_從父姓,2
11507,65000030,新北市中和區,女,一方約定_從母姓,2
11507,65000030,新北市中和區,女,一方約定_傳統姓名,0
11507,65000030,新北市中和區,女,申請人抽籤決定_從父姓,0
11507,65000030,新北市中和區,女,申請人抽籤決定_從母姓,0
11507,65000030,新北市中和區,女,申請人抽籤決定_傳統姓名,0
11507,65000030,新北市中和區,女,戶政事務所抽籤決定_從父姓,0
